english,french,german,dutch,spanish,walloon,korean,chinese
Pigeon,Pigeon,Taube,Duif,Paloma,Colon,비둘기 / Bidulgi,鸽子 / Gēzi
Time,Temps,Zeit,Tijd,Tiempo,Fèye,시각 / Sigag,时间 / Shíjiān
Way,Chemin,Weg,Manier,Camino,Vôye,방법 / Bangbeob,方式 / Fāngshì
Year,An,Jahr,Jaar,Año,An,년도 / Nyeondo,年 / Nián
Work,Travail,Arbeit,Het werk,Trabaja,Ovrer,일하다 / Ilhada,工作 / Gōngzuò
Government,Gouvernement,Regierung,Regering,Gobierno,Gouvèrnèmint,정부 / Jeongbu,政府 / Zhèngfǔ
Day,Journée,Tag,Dag,Día,Djoûrnêye,낮 / Naj,天 / Tiān
Man,Homme,Mann,Mens,Hombre,Ome,남성 / Namseong,男人 / Nánrén
World,Monde,Welt,Wereld-,Mundo,Monde,세계 / Segye,世界 / Shìjiè
Life,Vie,Leben,Leven,La vida,Vèye,삶 / Salm,生活 / Shēnghuó
Part,Partie,Teil,Deel,Parte,Pårt,부분 / Bubun,部分 / Bùfèn
House,Maison,Haus,Huis,Casa,Barake,집 / Jib,房子 / Fángzi
Course,Cours,Kurs,Cursus,Curso,Scole,강의 / Gang-ui,课程 / Kèchéng
Case,Cas,Fall,Geval,Caso,Cas,사례 / Salye,案子 / Ànzi
System,Système,System,Systeem,Sistema,Sistinme,체계 / Chegye,系统 / Xìtǒng
Place,Lieu,Ort,Plaats,Lugar,Plèce,장소 / Jangso,地方 / Dìfāng
End,Finir,Ende,Einde,Fin,Fini,끝 / Kkeut,结尾 / Jiéwěi
Group,Grouper,Gruppe,Groep,Grupo,Rassonler,그룹 / Geulub,团体 / Tuántǐ
Company,Société,Unternehmen,Bedrijf,Empresa,Kipagnêye,회사 / Hoesa,公司 / Gōngsī
Party,Faire la fête,Party,Partij,Fiesta,Fièsse,파티 / Pati,聚会 / Jùhuì
Information,Information,Information,Informatie,Información,Infôrmåcion,정보 / Jeongbo,信息 / Xìnxī
School,École,Schule,School,Colegio,Scole,학교 / Haggyo,学校 / Xuéxiào
Fact,Fait,Tatsache,Feit,Hecho,Fêt,사실 / Sasil,事实 / Shìshí
Money,Argent,Geld,Geld,Dinero,Manôye,돈 / Don,钱 / Qián
Point,Point,Punkt,Punt,Punto,Pont,가리키다 / Galikida,观点 / Guāndiǎn
Example,Exemple,Beispiel,Voorbeeld,Ejemplo,Ègzimpe,예시 / Yesi,例子 / Lìzi
State,Etat,Zustand,Staat,Expresar,Acèrtiner,상태 / Sangtae,状态 / Zhuàngtài
Business,Affaires,Geschäft,Bedrijf,Negocio,Afêre,사업 / Sa-eob,商业 / Shāngyè
Night,Nuit,Nacht,Nacht,Noche,Al-nut',밤 / Bam,夜晚 / Yèwǎn
Area,Région,Bereich,Oppervlakte,Área,Redjon,영역 / Yeong-yeog,区域 / Qūyù
Water,Eau,Wasser,Water,Agua,Êwe,물 / Mul,水 / Shuǐ
Thing,Chose,Sache,Ding,Cosa,Tchwè,물건 / Mulgeon,事物 / Shìwù
Family,Famille,Familie,Familie,Familia,Famile,가족 / Gajog,家庭 / Jiātíng
Head,Tête,Kopf,Hoofd,Cabeza,Tièsse,머리 / Meoli,头 / Tóu
Hand,Main,Hand,Hand,Mano,Rimète,손 / Son,手 / Shǒu
